,,Ship Mode,First Class,,,Same Day,,,Second Class,,,Standard Class,,
823,US-2014-168691,9-Jan-16,,2.344,,,,,,,,2.808,,
824,US-2014-168692,10-Jan-16,,2.344,,,,,,,,2.808,,
825,US-2014-168693,11-Jan-16,,2.344,,,,,,,,2.808,,
826,US-2014-168694,12-Jan-16,,2.344,,,,,,,,2.808,,
827,US-2014-168695,13-Jan-16,,2.344,,,,,,,,2.808,,
828,US-2014-168696,14-Jan-16,,2.344,,,,,,,,2.808,,
829,US-2014-168697,15-Jan-16,,2.344,,,,,,,,2.808,,
830,US-2014-168698,16-Jan-16,,2.344,,,,,,,,2.808,,
831,US-2014-168699,17-Jan-16,,2.344,,,,,,,,2.808,,
832,US-2014-168700,18-Jan-16,,2.344,,,,,,,,2.808,,
833,US-2014-168701,19-Jan-16,,2.344,,,,,,,,2.808,,
834,US-2014-168702,20-Jan-16,,2.344,,,,,,,,2.808,,
835,US-2014-168703,21-Jan-16,,2.344,,,,,,,,2.808,,
836,US-2014-168704,22-Jan-16,,2.344,,,,,,,,2.808,,
837,US-2014-168705,23-Jan-16,,2.344,,,,,,,,2.808,,
838,US-2014-168706,24-Jan-16,,2.344,,,,,,,,2.808,,
839,US-2014-168707,25-Jan-16,,2.344,,,,,,,,2.808,,
840,US-2014-168708,26-Jan-16,,2.344,,,,,,,,2.808,,
841,US-2014-168709,27-Jan-16,,2.344,,,,,,,,2.808,,
842,US-2014-168710,28-Jan-16,,2.344,,,,,,,,2.808,,
843,US-2014-168711,29-Jan-16,,2.344,,,,,,,,2.808,,
844,US-2014-168712,30-Jan-16,,2.344,,,,,,,,2.808,,
845,US-2014-168713,31-Jan-16,,2.344,,,,,,,,2.808,,
846,US-2014-168714,1-Feb-16,,2.344,,,,,,,,2.808,,
847,US-2014-168715,2-Feb-16,,2.344,,,,,,,,2.808,,
848,US-2014-168716,3-Feb-16,,2.344,,,,,,,,2.808,,
849,US-2014-168717,4-Feb-16,,2.344,,,,,,,,2.808,,
850,US-2014-168718,5-Feb-16,,2.344,,,,,,,,2.808,,
851,US-2014-168719,6-Feb-16,,2.344,,,,,,,,2.808,,
852,US-2014-168720,7-Feb-16,,2.344,,,,,,,,2.808,,
853,US-2014-168721,8-Feb-16,,2.344,,,,,,,,2.808,,
854,US-2014-168722,9-Feb-16,,2.344,,,,,,,,2.808,,
855,US-2014-168723,10-Feb-16,,2.344,,,,,,,,2.808,,
856,US-2014-168724,11-Feb-16,,2.344,,,,,,,,2.808,,
857,US-2014-168725,12-Feb-16,,2.344,,,,,,,,2.808,,
858,US-2014-168726,13-Feb-16,,2.344,,,,,,,,2.808,,
859,US-2014-168727,14-Feb-16,,2.344,,,,,,,,2.808,,
860,US-2014-168728,15-Feb-16,,2.344,,,,,,,,2.808,,
861,US-2014-168729,16-Feb-16,,2.344,,,,,,,,2.808,,
862,US-2014-168730,17-Feb-16,,2.344,,,,,,,,2.808,,
863,US-2014-168731,18-Feb-16,,2.344,,,,,,,,2.808,,
864,US-2014-168732,19-Feb-16,,2.344,,,,,,,,2.808,,
865,US-2014-168733,20-Feb-16,,2.344,,,,,,,,2.808,,
866,US-2014-168734,21-Feb-16,,2.344,,,,,,,,2.808,,
867,US-2014-168735,22-Feb-16,,2.344,,,,,,,,2.808,,
868,US-2014-168736,23-Feb-16,,2.344,,,,,,,,2.808,,
869,US-2014-168737,24-Feb-16,,2.344,,,,,,,,2.808,,
870,US-2014-168738,25-Feb-16,,2.344,,,,,,,,2.808,,
871,US-2014-168739,26-Feb-16,,2.344,,,,,,,,2.808,,
872,US-2014-168740,27-Feb-16,,2.344,,,,,,,,2.808,,
873,US-2014-168741,28-Feb-16,,2.344,,,,,,,,2.808,,
874,US-2014-168742,29-Feb-16,,2.344,,,,,,,,2.808,,
875,US-2014-168743,1-Mar-16,,2.344,,,,,,,,2.808,,
876,US-2014-168744,2-Mar-16,,2.344,,,,,,,,2.808,,
877,US-2014-168745,3-Mar-16,,2.344,,,,,,,,2.808,,
878,US-2014-168746,4-Mar-16,,2.344,,,,,,,,2.808,,
879,US-2014-168747,5-Mar-16,,2.344,,,,,,,,2.808,,
880,US-2014-168748,6-Mar-16,,2.344,,,,,,,,2.808,,
881,US-2014-168749,7-Mar-16,,2.344,,,,,,,,2.808,,
882,US-2014-168750,8-Mar-16,,2.344,,,,,,,,2.808,,
883,US-2014-168751,9-Mar-16,,2.344,,,,,,,,2.808,,
884,US-2014-168752,10-Mar-16,,2.344,,,,,,,,2.808,,
885,US-2014-168753,11-Mar-16,,2.344,,,,,,,,2.808,,
886,US-2014-168754,12-Mar-16,,2.344,,,,,,,,2.808,,
887,US-2014-168755,13-Mar-16,,2.344,,,,,,,,2.808,,
888,US-2014-168756,14-Mar-16,,2.344,,,,,,,,2.808,,
889,US-2014-168757,15-Mar-16,,2.344,,,,,,,,2.808,,
890,US-2014-168758,16-Mar-16,,2.344,,,,,,,,2.808,,
891,US-2014-168759,17-Mar-16,,2.344,,,,,,,,2.808,,
892,US-2014-168760,18-Mar-16,,2.344,,,,,,,,2.808,,
893,US-2014-168761,19-Mar-16,,2.344,,,,,,,,2.808,,
894,US-2014-168762,20-Mar-16,,2.344,,,,,,,,2.808,,
895,US-2014-168763,21-Mar-16,,2.344,,,,,,,,2.808,,
896,US-2014-168764,22-Mar-16,,2.344,,,,,,,,2.808,,
897,US-2014-168765,23-Mar-16,,2.344,,,,,,,,2.808,,
898,US-2014-168766,24-Mar-16,,2.344,,,,,,,,2.808,,
899,US-2014-168767,25-Mar-16,,2.344,,,,,,,,2.808,,
900,US-2014-168768,26-Mar-16,,2.344,,,,,,,,2.808,,
901,US-2014-168769,27-Mar-16,,2.344,,,,,,,,2.808,,
902,US-2014-168770,28-Mar-16,,2.344,,,,,,,,2.808,,
903,US-2014-168771,29-Mar-16,,2.344,,,,,,,,2.808,,
904,US-2014-168772,30-Mar-16,,2.344,,,,,,,,2.808,,
905,US-2014-168773,31-Mar-16,,2.344,,,,,,,,2.808,,
906,US-2014-168774,1-Apr-16,,2.344,,,,,,,,2.808,,
907,US-2014-168775,2-Apr-16,,2.344,,,,,,,,2.808,,
908,US-2014-168776,3-Apr-16,,2.344,,,,,,,,2.808,,
909,US-2014-168777,4-Apr-16,,2.344,,,,,,,,2.808,,
910,US-2014-168778,5-Apr-16,,2.344,,,,,,,,2.808,,
911,US-2014-168779,6-Apr-16,,2.344,,,,,,,,2.808,,
912,US-2014-168780,7-Apr-16,,2.344,,,,,,,,2.808,,
913,US-2014-168781,8-Apr-16,,2.344,,,,,,,,2.808,,
914,US-2014-168782,9-Apr-16,,2.344,,,,,,,,2.808,,
915,US-2014-168783,10-Apr-16,,2.344,,,,,,,,2.808,,
916,US-2014-168784,11-Apr-16,,2.344,,,,,,,,2.808,,
917,US-2014-168785,12-Apr-16,,2.344,,,,,,,,2.808,,
918,US-2014-168786,13-Apr-16,,2.344,,,,,,,,2.808,,
919,US-2014-168787,14-Apr-16,,2.344,,,,,,,,2.808,,
920,US-2014-168788,15-Apr-16,,2.344,,,,,,,,2.808,,
921,US-2014-168789,16-Apr-16,,2.344,,,,,,,,2.808,,
922,US-2014-168790,17-Apr-16,,2.344,,,,,,,,2.808,,
923,US-2014-168791,18-Apr-16,,2.344,,,,,,,,2.808,,
924,US-2014-168792,19-Apr-16,,2.344,,,,,,,,2.808,,
925,US-2014-168793,20-Apr-16,,2.344,,,,,,,,2.808,,
926,US-2014-168794,21-Apr-16,,2.344,,,,,,,,2.808,,
927,US-2014-168795,22-Apr-16,,2.344,,,,,,,,2.808,,
928,US-2014-168796,23-Apr-16,,2.344,,,,,,,,2.808,,
929,US-2014-168797,24-Apr-16,,2.344,,,,,,,,2.808,,
930,US-2014-168798,25-Apr-16,,2.344,,,,,,,,2.808,,
931,US-2014-168799,26-Apr-16,,2.344,,,,,,,,2.808,,
932,US-2014-168800,27-Apr-16,,2.344,,,,,,,,2.808,,
933,US-2014-168801,28-Apr-16,,2.344,,,,,,,,2.808,,
934,US-2014-168802,29-Apr-16,,2.344,,,,,,,,2.808,,
935,US-2014-168803,30-Apr-16,,2.344,,,,,,,,2.808,,
936,US-2014-168804,1-May-16,,2.344,,,,,,,,2.808,,
937,US-2014-168805,2-May-16,,2.344,,,,,,,,2.808,,
938,US-2014-168806,3-May-16,,2.344,,,,,,,,2.808,,
939,US-2014-168807,4-May-16,,2.344,,,,,,,,2.808,,
940,US-2014-168808,5-May-16,,2.344,,,,,,,,2.808,,
941,US-2014-168809,6-May-16,,2.344,,,,,,,,2.808,,
942,US-2014-168810,7-May-16,,2.344,,,,,,,,2.808,,
943,US-2014-168811,8-May-16,,2.344,,,,,,,,2.808,,
944,US-2014-168812,9-May-16,,2.344,,,,,,,,2.808,,
945,US-2014-168813,10-May-16,,2.344,,,,,,,,2.808,,
946,US-2014-168814,11-May-16,,2.344,,,,,,,,2.808,,
947,US-2014-168815,12-May-16,,2.344,,,,,,,,2.808,,
948,US-2014-168816,13-May-16,,2.344,,,,,,,,2.808,,
949,US-2014-168817,14-May-16,,2.344,,,,,,,,2.808,,
950,US-2014-168818,15-May-16,,2.344,,,,,,,,2.808,,
951,US-2014-168819,16-May-16,,2.344,,,,,,,,2.808,,
952,US-2014-168820,17-May-16,,2.344,,,,,,,,2.808,,
953,US-2014-168821,18-May-16,,2.344,,,,,,,,2.808,,
954,US-2014-168822,19-May-16,,2.344,,,,,,,,2.808,,
955,US-2014-168823,20-May-16,,2.344,,,,,,,,2.808,,
956,US-2014-168824,21-May-16,,2.344,,,,,,,,2.808,,
957,US-2014-168825,22-May-16,,2.344,,,,,,,,2.808,,
958,US-2014-168826,23-May-16,,2.344,,,,,,,,2.808,,
959,US-2014-168827,24-May-16,,2.344,,,,,,,,2.808,,
960,US-2014-168828,25-May-16,,2.344,,,,,,,,2.808,,
961,US-2014-168829,26-May-16,,2.344,,,,,,,,2.808,,
962,US-2014-168830,27-May-16,,2.344,,,,,,,,2.808,,
963,US-2014-168831,28-May-16,,2.344,,,,,,,,2.808,,
964,US-2014-168832,29-May-16,,2.344,,,,,,,,2.808,,
965,US-2014-168833,30-May-16,,2.344,,,,,,,,2.808,,
966,US-2014-168834,31-May-16,,2.344,,,,,,,,2.808,,
967,US-2014-168835,1-Jun-16,,2.344,,,,,,,,2.808,,
968,US-2014-168836,2-Jun-16,,2.344,,,,,,,,2.808,,
969,US-2014-168837,3-Jun-16,,2.344,,,,,,,,2.808,,
970,US-2014-168838,4-Jun-16,,2.344,,,,,,,,2.808,,
971,US-2014-168839,5-Jun-16,,2.344,,,,,,,,2.808,,
972,US-2014-168840,6-Jun-16,,2.344,,,,,,,,2.808,,
973,US-2014-168841,7-Jun-16,,2.344,,,,,,,,2.808,,
974,US-2014-168842,8-Jun-16,,2.344,,,,,,,,2.808,,
975,US-2014-168843,9-Jun-16,,2.344,,,,,,,,2.808,,
976,US-2014-168844,10-Jun-16,,2.344,,,,,,,,2.808,,
977,US-2014-168845,11-Jun-16,,2.344,,,,,,,,2.808,,
978,US-2014-168846,12-Jun-16,,2.344,,,,,,,,2.808,,
979,US-2014-168847,13-Jun-16,,2.344,,,,,,,,2.808,,
980,US-2014-168848,14-Jun-16,,2.344,,,,,,,,2.808,,
981,US-2014-168849,15-Jun-16,,2.344,,,,,,,,2.808,,
982,US-2014-168850,16-Jun-16,,2.344,,,,,,,,2.808,,
983,US-2014-168851,17-Jun-16,,2.344,,,,,,,,2.808,,
984,US-2014-168852,18-Jun-16,,2.344,,,,,,,,2.808,,
985,US-2014-168853,19-Jun-16,,2.344,,,,,,,,2.808,,
986,US-2014-168854,20-Jun-16,,2.344,,,,,,,,2.808,,
987,US-2014-168855,21-Jun-16,,2.344,,,,,,,,2.808,,
988,US-2014-168856,22-Jun-16,,2.344,,,,,,,,2.808,,
989,US-2014-168857,23-Jun-16,,2.344,,,,,,,,2.808,,
990,US-2014-168858,24-Jun-16,,2.344,,,,,,,,2.808,,
991,US-2014-168859,25-Jun-16,,2.344,,,,,,,,2.808,,
992,US-2014-168860,26-Jun-16,,2.344,,,,,,,,2.808,,
993,US-2014-168861,27-Jun-16,,2.344,,,,,,,,2.808,,
994,US-2014-168862,28-Jun-16,,2.344,,,,,,,,2.808,,
995,US-2014-168863,29-Jun-16,,2.344,,,,,,,,2.808,,
996,US-2014-168864,30-Jun-16,,2.344,,,,,,,,2.808,,
997,US-2014-168865,1-Jul-16,,2.344,,,,,,,,2.808,,
998,US-2014-168866,2-Jul-16,,2.344,,,,,,,,2.808,,
999,US-2014-168867,3-Jul-16,,2.344,,,,,,,,2.808,,
1000,US-2014-168868,4-Jul-16,,2.344,,,,,,,,2.808,,
1001,US-2014-168869,5-Jul-16,,2.344,,,,,,,,2.808,,
1002,US-2014-168870,6-Jul-16,,2.344,,,,,,,,2.808,,
1003,US-2014-168871,7-Jul-16,,2.344,,,,,,,,2.808,,
1004,US-2014-168872,8-Jul-16,,2.344,,,,,,,,2.808,,
1005,US-2014-168873,9-Jul-16,,2.344,,,,,,,,2.808,,
1006,US-2014-168874,10-Jul-16,,2.344,,,,,,,,2.808,,
1007,US-2014-168875,11-Jul-16,,2.344,,,,,,,,2.808,,
1008,US-2014-168876,12-Jul-16,,2.344,,,,,,,,2.808,,
1009,US-2014-168877,13-Jul-16,,2.344,,,,,,,,2.808,,
1010,US-2014-168878,14-Jul-16,,2.344,,,,,,,,2.808,,
1011,US-2014-168879,15-Jul-16,,2.344,,,,,,,,2.808,,
1012,US-2014-168880,16-Jul-16,,2.344,,,,,,,,2.808,,
1013,US-2014-168881,17-Jul-16,,2.344,,,,,,,,2.808,,
1014,US-2014-168882,18-Jul-16,,2.344,,,,,,,,2.808,,
1015,US-2014-168883,19-Jul-16,,2.344,,,,,,,,2.808,,
1016,US-2014-168884,20-Jul-16,,2.344,,,,,,,,2.808,,
1017,US-2014-168885,21-Jul-16,,2.344,,,,,,,,2.808,,
1018,US-2014-168886,22-Jul-16,,2.344,,,,,,,,2.808,,
1019,US-2014-168887,23-Jul-16,,2.344,,,,,,,,2.808,,
1020,US-2014-168888,24-Jul-16,,2.344,,,,,,,,2.808,,
1021,US-2014-168889,25-Jul-16,,2.344,,,,,,,,2.808,,
1022,US-2014-168890,26-Jul-16,,2.344,,,,,,,,2.808,,
1023,US-2014-168891,27-Jul-16,,2.344,,,,,,,,2.808,,
1024,US-2014-168892,28-Jul-16,,2.344,,,,,,,,2.808,,
1025,US-2014-168893,29-Jul-16,,2.344,,,,,,,,2.808,,
1026,US-2014-168894,30-Jul-16,,2.344,,,,,,,,2.808,,
1027,US-2014-168895,31-Jul-16,,2.344,,,,,,,,2.808,,
1028,US-2014-168896,1-Aug-16,,2.344,,,,,,,,2.808,,
1029,US-2014-168897,2-Aug-16,,2.344,,,,,,,,2.808,,
1030,US-2014-168898,3-Aug-16,,2.344,,,,,,,,2.808,,
1031,US-2014-168899,4-Aug-16,,2.344,,,,,,,,2.808,,
1032,US-2014-168900,5-Aug-16,,2.344,,,,,,,,2.808,,
1033,US-2014-168901,6-Aug-16,,2.344,,,,,,,,2.808,,
1034,US-2014-168902,7-Aug-16,,2.344,,,,,,,,2.808,,
1035,US-2014-168903,8-Aug-16,,2.344,,,,,,,,2.808,,
1036,US-2014-168904,9-Aug-16,,2.344,,,,,,,,2.808,,
1037,US-2014-168905,10-Aug-16,,2.344,,,,,,,,2.808,,
1038,US-2014-168906,11-Aug-16,,2.344,,,,,,,,2.808,,
1039,US-2014-168907,12-Aug-16,,2.344,,,,,,,,2.808,,
1040,US-2014-168908,13-Aug-16,,2.344,,,,,,,,2.808,,
1041,US-2014-168909,14-Aug-16,,2.344,,,,,,,,2.808,,
1042,US-2014-168910,15-Aug-16,,2.344,,,,,,,,2.808,,
1043,US-2014-168911,16-Aug-16,,2.344,,,,,,,,2.808,,
1044,US-2014-168912,17-Aug-16,,2.344,,,,,,,,2.808,,
1045,US-2014-168913,18-Aug-16,,2.344,,,,,,,,2.808,,
1046,US-2014-168914,19-Aug-16,,2.344,,,,,,,,2.808,,
1047,US-2014-168915,20-Aug-16,,2.344,,,,,,,,2.808,,
1048,US-2014-168916,21-Aug-16,,2.344,,,,,,,,2.808,,
1049,US-2014-168917,22-Aug-16,,2.344,,,,,,,,2.808,,
1050,US-2014-168918,23-Aug-16,,2.344,,,,,,,,2.808,,
1051,US-2014-168919,24-Aug-16,,2.344,,,,,,,,2.808,,
1052,US-2014-168920,25-Aug-16,,2.344,,,,,,,,2.808,,
1053,US-2014-168921,26-Aug-16,,2.344,,,,,,,,2.808,,
1054,US-2014-168922,27-Aug-16,,2.344,,,,,,,,2.808,,
1055,US-2014-168923,28-Aug-16,,2.344,,,,,,,,2.808,,
1056,US-2014-168924,29-Aug-16,,2.344,,,,,,,,2.808,,
1057,US-2014-168925,30-Aug-16,,2.344,,,,,,,,2.808,,
1058,US-2014-168926,31-Aug-16,,2.344,,,,,,,,2.808,,
1059,US-2014-168927,1-Sep-16,,2.344,,,,,,,,2.808,,
1060,US-2014-168928,2-Sep-16,,2.344,,,,,,,,2.808,,
1061,US-2014-168929,3-Sep-16,,2.344,,,,,,,,2.808,,
1062,US-2014-168930,4-Sep-16,,2.344,,,,,,,,2.808,,
1063,US-2014-168931,5-Sep-16,,2.344,,,,,,,,2.808,,
1064,US-2014-168932,6-Sep-16,,2.344,,,,,,,,2.808,,
1065,US-2014-168933,7-Sep-16,,2.344,,,,,,,,2.808,,
1066,US-2014-168934,8-Sep-16,,2.344,,,,,,,,2.808,,
1067,US-2014-168935,9-Sep-16,,2.344,,,,,,,,2.808,,
1068,US-2014-168936,10-Sep-16,,2.344,,,,,,,,2.808,,
1069,US-2014-168937,11-Sep-16,,2.344,,,,,,,,2.808,,
1070,US-2014-168938,12-Sep-16,,2.344,,,,,,,,2.808,,
1071,US-2014-168939,13-Sep-16,,2.344,,,,,,,,2.808,,
1072,US-2014-168940,14-Sep-16,,2.344,,,,,,,,2.808,,
1073,US-2014-168941,15-Sep-16,,2.344,,,,,,,,2.808,,
1074,US-2014-168942,16-Sep-16,,2.344,,,,,,,,2.808,,
1075,US-2014-168943,17-Sep-16,,2.344,,,,,,,,2.808,,
1076,US-2014-168944,18-Sep-16,,2.344,,,,,,,,2.808,,
1077,US-2014-168945,19-Sep-16,,2.344,,,,,,,,2.808,,
1078,US-2014-168946,20-Sep-16,,2.344,,,,,,,,2.808,,
1079,US-2014-168947,21-Sep-16,,2.344,,,,,,,,2.808,,
1080,US-2014-168948,22-Sep-16,,2.344,,,,,,,,2.808,,
1081,US-2014-168949,23-Sep-16,,2.344,,,,,,,,2.808,,
1082,US-2014-168950,24-Sep-16,,2.344,,,,,,,,2.808,,
1083,US-2014-168951,25-Sep-16,,2.344,,,,,,,,2.808,,
1084,US-2014-168952,26-Sep-16,,2.344,,,,,,,,2.808,,
1085,US-2014-168953,27-Sep-16,,2.344,,,,,,,,2.808,,
1086,US-2014-168954,28-Sep-16,,2.344,,,,,,,,2.808,,
1087,US-2014-168955,29-Sep-16,,2.344,,,,,,,,2.808,,
1088,US-2014-168956,30-Sep-16,,2.344,,,,,,,,2.808,,
1089,US-2014-168957,1-Oct-16,,2.344,,,,,,,,2.808,,
1090,US-2014-168958,2-Oct-16,,2.344,,,,,,,,2.808,,
1091,US-2014-168959,3-Oct-16,,2.344,,,,,,,,2.808,,
1092,US-2014-168960,4-Oct-16,,2.344,,,,,,,,2.808,,
1093,US-2014-168961,5-Oct-16,,2.344,,,,,,,,2.808,,
1094,US-2014-168962,6-Oct-16,,2.344,,,,,,,,2.808,,
1095,US-2014-168963,7-Oct-16,,2.344,,,,,,,,2.808,,
1096,US-2014-168964,8-Oct-16,,2.344,,,,,,,,2.808,,
1097,US-2014-168965,9-Oct-16,,2.344,,,,,,,,2.808,,
1098,US-2014-168966,10-Oct-16,,2.344,,,,,,,,2.808,,
1099,US-2014-168967,11-Oct-16,,2.344,,,,,,,,2.808,,
1100,US-2014-168968,12-Oct-16,,2.344,,,,,,,,2.808,,
1101,US-2014-168969,13-Oct-16,,2.344,,,,,,,,2.808,,
1102,US-2014-168970,14-Oct-16,,2.344,,,,,,,,2.808,,
1103,US-2014-168971,15-Oct-16,,2.344,,,,,,,,2.808,,
1104,US-2014-168972,16-Oct-16,,2.344,,,,,,,,2.808,,
1105,US-2014-168973,17-Oct-16,,2.344,,,,,,,,2.808,,
1106,US-2014-168974,18-Oct-16,,2.344,,,,,,,,2.808,,
1107,US-2014-168975,19-Oct-16,,2.344,,,,,,,,2.808,,
1108,US-2014-168976,20-Oct-16,,2.344,,,,,,,,2.808,,
1109,US-2014-168977,21-Oct-16,,2.344,,,,,,,,2.808,,
1110,US-2014-168978,22-Oct-16,,2.344,,,,,,,,2.808,,
1111,US-2014-168979,23-Oct-16,,2.344,,,,,,,,2.808,,
1112,US-2014-168980,24-Oct-16,,2.344,,,,,,,,2.808,,
1113,US-2014-168981,25-Oct-16,,2.344,,,,,,,,2.808,,
1114,US-2014-168982,26-Oct-16,,2.344,,,,,,,,2.808,,
1115,US-2014-168983,27-Oct-16,,2.344,,,,,,,,2.808,,
1116,US-2014-168984,28-Oct-16,,2.344,,,,,,,,2.808,,
1117,US-2014-168985,29-Oct-16,,2.344,,,,,,,,2.808,,
1118,US-2014-168986,30-Oct-16,,2.344,,,,,,,,2.808,,
1119,US-2014-168987,31-Oct-16,,2.344,,,,,,,,2.808,,
1120,US-2014-168988,1-Nov-16,,2.344,,,,,,,,2.808,,
1121,US-2014-168989,2-Nov-16,,2.344,,,,,,,,2.808,,
1122,US-2014-168990,3-Nov-16,,2.344,,,,,,,,2.808,,
1123,US-2014-168991,4-Nov-16,,2.344,,,,,,,,2.808,,
1124,US-2014-168992,5-Nov-16,,2.344,,,,,,,,2.808,,
1125,US-2014-168993,6-Nov-16,,2.344,,,,,,,,2.808,,
1126,US-2014-168994,7-Nov-16,,2.344,,,,,,,,2.808,,
1127,US-2014-168995,8-Nov-16,,2.344,,,,,,,,2.808,,
1128,US-2014-168996,9-Nov-16,,2.344,,,,,,,,2.808,,
1129,US-2014-168997,10-Nov-16,,2.344,,,,,,,,2.808,,
1130,US-2014-168998,11-Nov-16,,2.344,,,,,,,,2.808,,
1131,US-2014-168999,12-Nov-16,,2.344,,,,,,,,2.808,,
1132,US-2014-169000,13-Nov-16,,2.344,,,,,,,,2.808,,
1133,US-2014-169001,14-Nov-16,,2.344,,,,,,,,2.808,,
1134,US-2014-169002,15-Nov-16,,2.344,,,,,,,,2.808,,
1135,US-2014-169003,16-Nov-16,,2.344,,,,,,,,2.808,,
1136,US-2014-169004,17-Nov-16,,2.344,,,,,,,,2.808,,
1137,US-2014-169005,18-Nov-16,,2.344,,,,,,,,2.808,,
1138,US-2014-169006,19-Nov-16,,2.344,,,,,,,,2.808,,
1139,US-2014-169007,20-Nov-16,,2.344,,,,,,,,2.808,,
1140,US-2014-169008,21-Nov-16,,2.344,,,,,,,,2.808,,
1141,US-2014-169009,22-Nov-16,,2.344,,,,,,,,2.808,,
1142,US-2014-169010,23-Nov-16,,2.344,,,,,,,,2.808,,
1143,US-2014-169011,24-Nov-16,,2.344,,,,,,,,2.808,,
1144,US-2014-169012,25-Nov-16,,2.344,,,,,,,,2.808,,
1145,US-2014-169013,26-Nov-16,,2.344,,,,,,,,2.808,,
1146,US-2014-169014,27-Nov-16,,2.344,,,,,,,,2.808,,
1147,US-2014-169015,28-Nov-16,,2.344,,,,,,,,2.808,,
1148,US-2014-169016,29-Nov-16,,2.344,,,,,,,,2.808,,
1149,US-2014-169017,30-Nov-16,,2.344,,,,,,,,2.808,,
1150,US-2014-169018,1-Dec-16,,2.344,,,,,,,,2.808,,
1151,US-2014-169019,2-Dec-16,,2.344,,,,,,,,2.808,,
1152,US-2014-169020,3-Dec-16,,2.344,,,,,,,,2.808,,
1153,US-2014-169021,4-Dec-16,,2.344,,,,,,,,2.808,,
1154,US-2014-169022,5-Dec-16,,2.344,,,,,,,,2.808,,
1155,US-2014-169023,6-Dec-16,,2.344,,,,,,,,2.808,,
1156,US-2014-169024,7-Dec-16,,2.344,,,,,,,,2.808,,
1157,US-2014-169025,8-Dec-16,,2.344,,,,,,,,2.808,,
1158,US-2014-169026,9-Dec-16,,2.344,,,,,,,,2.808,,
1159,US-2014-169027,10-Dec-16,,2.344,,,,,,,,2.808,,
1160,US-2014-169028,11-Dec-16,,2.344,,,,,,,,2.808,,
1161,US-2014-169029,12-Dec-16,,2.344,,,,,,,,2.808,,
1162,US-2014-169030,13-Dec-16,,2.344,,,,,,,,2.808,,
1163,US-2014-169031,14-Dec-16,,2.344,,,,,,,,2.808,,
1164,US-2014-169032,15-Dec-16,,2.344,,,,,,,,2.808,,
1165,US-2014-169033,16-Dec-16,,2.344,,,,,,,,2.808,,
1166,US-2014-169034,17-Dec-16,,2.344,,,,,,,,2.808,,
1167,US-2014-169035,18-Dec-16,,2.344,,,,,,,,2.808,,
1168,US-2014-169036,19-Dec-16,,2.344,,,,,,,,2.808,,
1169,US-2014-169037,20-Dec-16,,2.344,,,,,,,,2.808,,
1170,US-2014-169038,21-Dec-16,,2.344,,,,,,,,2.808,,
1171,US-2014-169039,22-Dec-16,,2.344,,,,,,,,2.808,,
1172,US-2014-169040,23-Dec-16,,2.344,,,,,,,,2.808,,
1173,US-2014-169041,24-Dec-16,,2.344,,,,,,,,2.808,,
1174,US-2014-169042,25-Dec-16,,2.344,,,,,,,,2.808,,
1175,US-2014-169043,26-Dec-16,,2.344,,,,,,,,2.808,,
1176,US-2014-169044,27-Dec-16,,2.344,,,,,,,,2.808,,
1177,US-2014-169045,28-Dec-16,,2.344,,,,,,,,2.808,,
1178,US-2014-169046,29-Dec-16,,2.344,,,,,,,,2.808,,
1179,US-2014-169047,30-Dec-16,,2.344,,,,,,,,2.808,,
1180,US-2014-169048,31-Dec-16,,2.344,,,,,,,,2.808,,
1181,US-2014-169049,1-Jan-17,,2.344,,,,,,,,2.808,,
1182,US-2014-169050,2-Jan-17,,2.344,,,,,,,,2.808,,
1183,US-2014-169051,3-Jan-17,,2.344,,,,,,,,2.808,,
1184,US-2014-169052,4-Jan-17,,2.344,,,,,,,,2.808,,
1185,US-2014-169053,5-Jan-17,,2.344,,,,,,,,2.808,,
1186,US-2014-169054,6-Jan-17,,2.344,,,,,,,,2.808,,
1187,US-2014-169055,7-Jan-17,,2.344,,,,,,,,2.808,,
1188,US-2014-169056,8-Jan-17,,2.344,,,,,,,,2.808,,
1189,US-2014-169057,9-Jan-17,,2.344,,,,,,,,2.808,,
1190,US-2014-169058,10-Jan-17,,2.344,,,,,,,,2.808,,
1191,US-2014-169059,11-Jan-17,,2.344,,,,,,,,2.808,,
1192,US-2014-169060,12-Jan-17,,2.344,,,,,,,,2.808,,
1193,US-2014-169061,13-Jan-17,,2.344,,,,,,,,2.808,,
1194,US-2014-169062,14-Jan-17,,2.344,,,,,,,,2.808,,
1195,US-2014-169063,15-Jan-17,,2.344,,,,,,,,2.808,,
1196,US-2014-169064,16-Jan-17,,2.344,,,,,,,,2.808,,
1197,US-2014-169065,17-Jan-17,,2.344,,,,,,,,2.808,,
1198,US-2014-169066,18-Jan-17,,2.344,,,,,,,,2.808,,
1199,US-2014-169067,19-Jan-17,,2.344,,,,,,,,2.808,,
1200,US-2014-169068,20-Jan-17,,2.344,,,,,,,,2.808,,
1201,US-2014-169069,21-Jan-17,,2.344,,,,,,,,2.808,,
1202,US-2014-169070,22-Jan-17,,2.344,,,,,,,,2.808,,
1203,US-2014-169071,23-Jan-17,,2.344,,,,,,,,2.808,,
1204,US-2014-169072,24-Jan-17,,2.344,,,,,,,,2.808,,
1205,US-2014-169073,25-Jan-17,,2.344,,,,,,,,2.808,,
